date,ucr_category,ucr_code,geometry,longitude,latitude,year
2017-08-01,03* - ROBBERY,304,"c(1014341.06105587, 840538.689034284)",1014341.0610558664,840538.689034284,2017
2017-08-06,03* - ROBBERY,304,"c(1015664.00129929, 829073.717657979)",1015664.0012992881,829073.7176579795,2017
2017-09-20,03* - ROBBERY,302,"c(1018990.33620495, 847938.255219038)",1018990.3362049512,847938.2552190383,2017
2017-09-21,03* - ROBBERY,301,"c(1020426.38353879, 836145.626630301)",1020426.3835387946,836145.626630301,2017
2017-09-24,03* - ROBBERY,303,"c(1017053.95104348, 844308.479886995)",1017053.9510434843,844308.4798869946,2017
2017-09-24,03* - ROBBERY,341,"c(1020993.70229954, 829088.347399739)",1020993.7022995368,829088.3473997392,2017
2017-09-25,03* - ROBBERY,302,"c(1018563.64950692, 832023.097269096)",1018563.6495069179,832023.0972690956,2017
2017-01-18,03* - ROBBERY,301,"c(1017986.20170527, 832815.578430464)",1017986.2017052722,832815.5784304639,2017
2017-01-18,03* - ROBBERY,311,"c(1020074.77181112, 830976.197634668)",1020074.7718111224,830976.1976346683,2017
2017-01-19,03* - ROBBERY,304,"c(1016940.98947717, 839079.376466624)",1016940.9894771682,839079.3764666236,2017
2017-01-13,03* - ROBBERY,304,"c(1020384.21911252, 840171.942519934)",1020384.2191125227,840171.9425199343,2017
2017-01-19,03* - ROBBERY,301,"c(1018809.35996652, 843662.686163593)",1018809.3599665171,843662.6861635927,2017
2017-01-18,03* - ROBBERY,313,"c(1018631.29160946, 837004.8491009)",1018631.291609458,837004.8491009002,2017
2017-10-16,03* - ROBBERY,314,"c(1009655.55981153, 836502.64892579)",1009655.5598115269,836502.6489257897,2017
2017-10-16,03* - ROBBERY,301,"c(1016380.97102747, 842262.455344995)",1016380.9710274655,842262.4553449946,2017
2017-10-14,03* - ROBBERY,301,"c(1018942.20135308, 830907.227577653)",1018942.2013530756,830907.2275776534,2017
2017-10-19,03* - ROBBERY,314,"c(1009772.34490595, 830390.538905428)",1009772.3449059475,830390.5389054284,2017
2017-10-19,03* - ROBBERY,313,"c(1015286.87102541, 840580.869107275)",1015286.8710254055,840580.8691072746,2017
2017-10-20,03* - ROBBERY,301,"c(1017071.26187274, 829299.07720532)",1017071.2618727399,829299.0772053202,2017
2017-10-20,03* - ROBBERY,301,"c(1019719.95149704, 843665.539862933)",1019719.9514970394,843665.5398629326,2017
2017-10-20,03* - ROBBERY,304,"c(1020670.01176271, 834467.038790611)",1020670.0117627148,834467.0387906107,2017
2017-10-20,03* - ROBBERY,322,"c(1018499.70199015, 835850.718963127)",1018499.7019901492,835850.7189631272,2017
2017-10-20,03* - ROBBERY,301,"c(1016313.66110575, 842382.749744927)",1016313.6611057502,842382.7497449274,2017
