name,types,address,place_id,longitude,latitude
Shell,gas_station,"949 Albany Avenue, Hartford",ChIJJyhXBKRU5okR6n1xP_vDZA4,1015679.2894652139,845114.1792705989
Exxon,gas_station,"351 Woodland Street, Hartford",ChIJD9DPgqhU5okRV8LiPaUCFNY,1014175.3908524552,844588.1318684155
Mobil,gas_station,"605 Albany Avenue, Hartford",ChIJUQVE76FU5okRm1JiK79GNiU,1017182.2614170334,844275.3303200442
Sunoco Gas Station,gas_station,"550 Albany Avenue, Hartford",ChIJhw1DX59U5okRlaB8zid51kU,1017494.2952419878,844279.4588977287
Citgo - Albany Food Mart,gas_station,"215 Albany Avenue, Hartford",ChIJ7wdpgZ5U5okRuT2dHnIEOgk,1018989.1034753438,843427.5648094292
Gulf,gas_station,"1510 Albany Avenue, Hartford",ChIJzU26Z65U5okRQ25wU9xSQdo,1012967.0821717243,846571.5742652699
Express Mart,gas_station,"212 Capen Street, Hartford",ChIJa60F_JZU5okRKzX6lYNzZ9s,1018371.2540390155,847171.028888433
Mobil,gas_station,"125 Weston Street, Hartford",ChIJ8_PHAWBU5okRyrxF08bVW3U,1023908.5480491399,848461.2972634113
Golden Nozzle Car Wash,gas_station,"140 Weston Street, Hartford",ChIJtY_85F9U5okRdZIQnlphMUY,1024345.9725466458,848623.8290098482
FL Roberts,gas_station,"173-141 Weston Street, Hartford",ChIJzb1gDUxV5okRZQW1k-dz85o,1024129.7862749579,848606.5528603891
Pride,gas_station,"10 Jennings Road, Hartford",ChIJWQ9ZQ2dU5okRdhp2EgzfQWU,1025769.1027569104,847704.3284389245
Pride Hartford Travel Center,gas_station,"165 Leibert Road, Hartford",ChIJGbysMGdU5okRuYQyU0MGNtY,1025808.1401496619,847743.9446779744
Noble,gas_station,"3250 Main Street, Hartford",ChIJq2NUF_ZU5okRay5FbSQ6OJQ,1023719.059225867,850691.8378764801
Petro Pantry,gas_station,"618 Blue Hills Avenue, Hartford",ChIJ-Wa9J8VU5okRNWPsPjJSZik,1014984.8312501498,853620.8382040053
Walmart Pharmacy,pharmacy,"495 Flatbush Avenue, Hartford",ChIJl7FRY9Ws54kRMtiQFZJCEFY,1010263.115361366,830616.8631521298
Community Care Pharmacy,pharmacy,"408 New Britain Avenue, Hartford",ChIJ6zqLOCZT5okRl1qm4Kus-G4,1014626.4454016271,830429.9729859147
CVS Pharmacy,pharmacy,"908 Maple Avenue, Hartford",ChIJ3Qxr3d9S5okR7cDN76NbK18,1017281.1768931106,828324.8881502292
Health Care Pharmacy,pharmacy,"740 Maple Avenue, Hartford",ChIJX_P0Mx9T5okRukOfQ9V8hkk,1018019.0625850635,830314.1485710883
CVS Pharmacy,pharmacy,"690 Wethersfield Avenue, Hartford",ChIJAZARjgNT5okRgaMbBFWi-LU,1021758.33262218,829421.3698729994
S House,pharmacy,"77 Whitmore Street, Hartford",ChIJzzCbrBBT5okRbI54qSO6Lcg,1019097.2035218922,832041.0532732864
Stop & Shop Pharmacy,pharmacy,"150 New Park Avenue, Hartford",ChIJq96AuSVT5okRL8AbbURPFJE,1011268.5358304118,834801.503390718
Arrow Pharmacy & Nutrition Center,pharmacy,"85 Seymour Street # 1, Hartford",ChIJZ6_-S2tT5okRlCm3aVze51g,1018760.9257635254,835653.5630614074
Suburban Jobst Healthcare,pharmacy,"100 Retreat Avenue STE 105, Hartford",ChIJeVFaZxNT5okRKnQ684-dLG0,1019464.2949853125,835133.8515832702
"Fei Wang, MSC",pharmacy,"79 Retreat Avenue, Hartford",ChIJXU4dSRNT5okRbHyrvJO_sxc,1019451.1339250553,835376.2355338993
Walgreens Pharmacy,pharmacy,"100 Retreat Avenue #102b, Hartford",ChIJl4EIOBNT5okR9yVEWbitW0w,1019471.0307526529,835138.7035829185
Hartford Pharmacy,pharmacy,"469 Park Street, Hartford",ChIJK-gCampT5okRIn4EbHjaTdw,1017916.315914253,836875.8856492618
Walgreens Pharmacy,pharmacy,"161 Washington Street, Hartford",ChIJaQHNsmtT5okRwf3Kj1uwvXw,1018254.7104375323,836754.7290642138
Hartford Pharmacy II,pharmacy,"57 Park Street, Hartford",ChIJJzyCym1T5okRF8Eei3QCrUA,1019905.8636482514,836599.2664635787
Drive-Thru Pharmacy,pharmacy,United States,ChIJn7v86GtT5okRb6VlSfDMkQc,1018706.4511798922,837009.721871494
CVS Pharmacy,pharmacy,"150 Washington Street, Hartford",ChIJqT616WtT5okRQ8BpwwPKxII,1018679.9277070607,837013.5998609508
Genoa Healthcare,pharmacy,"45 Wadsworth Street, Hartford",ChIJ49v7B0RT5okRJ2TTXhyNukg,1019093.5986385455,837301.0375436472
CVS Pharmacy,pharmacy,"566 Farmington Avenue, Hartford",ChIJv8h-5rKs54kRvnlAHb5xFHA,1010528.0444477589,840009.7042191845
Arrow Pharmacy,pharmacy,"500 Farmington Avenue, Hartford",ChIJo2l3FU1T5okRqg5wa-tMmWQ,1011337.3277759469,840131.3866243204
Genoa Healthcare,pharmacy,"43 Woodland Street, Hartford",ChIJWR_BVZdT5okR5jO7A2CFLjc,1012873.3606691264,841546.8667914085
CVS Pharmacy,pharmacy,"750 Main Street, Hartford",ChIJh95M7nhT5okRqitYEQV-7pA,1020994.434770978,839646.0393652829
University of Saint Joseph. School of Pharmacy,pharmacy,"229 Trumbull Street, Hartford",ChIJFzDMYGNT5okRgGekHSn2bVk,1020247.317775019,840556.5557253566
